"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"glibc","glibc-2.28-18-g2339d6a55eb7a7e040ae888e906adc49eeb59eab","GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)","COPYING COPYING.LIB LICENSES","glibc-glibc-2.28-18-g2339d6a55eb7a7e040ae888e906adc49eeb59eab.tar.gz","https://github.com/bminor/glibc/archive/glibc-2.28-18-g2339d6a55eb7a7e040ae888e906adc49eeb59eab","linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"linux-headers","4.18.18","GPL-2.0","COPYING","linux-4.18.18.tar.xz","https://cdn.kernel.org/pub/linux/kernel/v4.x","skeleton-init-common [unknown] skeleton-init-none [unknown]"
"dash","0.5.10.2","BSD-3-Clause, GPL-2.0+ (mksignames.c)","COPYING","dash-0.5.10.2.tar.gz","http://gondor.apana.org.au/~herbert/dash/files","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"buildroot","2018.11-rc2-00003-ga0787e9","GPL-2.0+","COPYING","not saved","not saved",""
"gcc-final","8.2.0","unknown","","gcc-8.2.0.tar.xz","http://ftp.gnu.org/pub/gnu/gcc/gcc-8.2.0","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] host-binutils [GPL-3.0+, libiberty LGPL-2.1+] host-bison [GPL-3.0+] host-gawk [GPL-3.0+] host-gcc-initial [unknown] host-gmp [LGPL-3.0+ or GPL-2.0+] host-lzip [GPL-2.0+] host-m4 [GPL-3.0+] host-mpc [LGPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"bison","3.0.4","GPL-3.0+","COPYING","bison-3.0.4.tar.xz","http://ftp.gnu.org/pub/gnu/bison","host-lzip [GPL-2.0+] host-m4 [GPL-3.0+] host-skeleton [unknown]"
"lzip","1.20","GPL-2.0+","COPYING","lzip-1.20.tar.gz","http://download.savannah.gnu.org/releases/lzip","host-skeleton [unknown]"
"m4","1.4.18","GPL-3.0+","COPYING","m4-1.4.18.tar.xz","http://ftp.gnu.org/pub/gnu/m4","host-lzip [GPL-2.0+] host-skeleton [unknown]"
"gawk","4.2.1","GPL-3.0+","COPYING","gawk-4.2.1.tar.xz","http://ftp.gnu.org/pub/gnu/gawk","host-lzip [GPL-2.0+] host-skeleton [unknown]"
"gcc-initial","8.2.0","unknown","","gcc-8.2.0.tar.xz","http://ftp.gnu.org/pub/gnu/gcc/gcc-8.2.0","host-binutils [GPL-3.0+, libiberty LGPL-2.1+] host-gmp [LGPL-3.0+ or GPL-2.0+] host-lzip [GPL-2.0+] host-m4 [GPL-3.0+] host-mpc [LGPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown]"
"binutils","2.31.1","GPL-3.0+, libiberty LGPL-2.1+","COPYING3 COPYING.LIB","binutils-2.31.1.tar.xz","http://ftp.gnu.org/pub/gnu/binutils","host-lzip [GPL-2.0+] host-skeleton [unknown]"
"gmp","6.1.2","LGPL-3.0+ or GPL-2.0+","COPYING.LESSERv3 COPYINGv2","gmp-6.1.2.tar.xz","http://ftp.gnu.org/pub/gnu/gmp","host-lzip [GPL-2.0+] host-m4 [GPL-3.0+] host-skeleton [unknown]"
"mpc","1.0.3","LGPL-3.0+","COPYING.LESSER","mpc-1.0.3.tar.gz","http://ftp.gnu.org/pub/gnu/mpc","host-gmp [LGPL-3.0+ or GPL-2.0+] host-lzip [GPL-2.0+] host-m4 [GPL-3.0+] host-mpfr [LGPL-3.0+] host-skeleton [unknown]"
"mpfr","3.1.6","LGPL-3.0+","COPYING.LESSER","mpfr-3.1.6.tar.xz","http://www.mpfr.org/mpfr-3.1.6","host-gmp [LGPL-3.0+ or GPL-2.0+] host-lzip [GPL-2.0+] host-m4 [GPL-3.0+] host-skeleton [unknown]"
"patchelf","0.9","GPL-3.0+","COPYING","patchelf-0.9.tar.bz2","http://releases.nixos.org/patchelf/patchelf-0.9","host-lzip [GPL-2.0+] host-skeleton [unknown]"
